note_id,last modification time,tags,Front,Back,Sound,Image,Notes,Part of Speech,Acceptions,Synonymous,Synonymous_sound,Morphemes,Tense,Example Sentence Tibetan,Example Sentence English,Example Sentence Sound,Shesa,Shesa_sound,Sanskrit,Spelling Out,Phrase?
1698230188985,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,སྦར་མ་,Burma,[sound:L21 Vocabulary_Nouns_C-09.mp3],"""<img alt=""""Myanmar | History, Map, Flag, Population, Capital, Language, &amp; Facts | Britannica"""" src=""""Ruins-pagodas-shrines-Buddhist-Myanmar-Pagan.jpg"""">""",,n,Myanmar,,,,,ཉེ་ཆར་རྡོ་རྗེ་གདན་ལ་སྦར་མཱའི་གྲྭ་པ་ཧ་ཅང་གིས་མང་པོ་སླེབས་འདུག,Recently many monks of Burma/Burmese monks have arrived in/come to Bodh Gaya. ,[sound:L21 Vocabulary_Nouns_C-10.mp3],,,,,
1698230273316,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,སིངྒ་ལ་,Sri Lanka,[sound:L21 Vocabulary_Nouns_C-11.mp3],"""<img alt=""""10 Best Temples in Sri Lanka: A Guide to Must-Visit Sri Lankan Temples"""" src=""""photo-1602827446042-1a27727110ae.jpg"""">""",,n,,,,,,སིངྒ་ལ་ཟེར་བའི་ལུང་པ་ཆུང་ཆུང་དེའི་ནང་ལ་སངས་རྒྱས་ཀྱི་གནས་དང་ནང་པའི་དགོན་པ་ཡང་མང་པོ་ཡོད་ས་རེད།,It seems that there are also lots of Buddhist holy sites and Buddhist monasteries in the small country known as Sri Lanka. ,[sound:L21 Vocabulary_Nouns_C-12.mp3],,,,,
1698230369951,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,དུས་རབས་ཉི་ཤུ་པ་,20<sup>th</sup> century,[sound:L21 Vocabulary_Nouns_C-13.mp3],"""<img alt=""""From self-driving cars to robots: How artists in the 20th century visualised the future"""" src=""""891164-dlzuxyhfdp-1534767647.jpeg"""">""",,n,,,,"དུས་རབས་ = century; དུས་ as in: དུས་ཚོད་ = time, དུས་འཁོར་དབང་ཆེན་ = Kalachakra initiation; རབས་ as in: མི་རབས་ = generation, ཡ་རབས་སྤྱོད་བཟང་ = excellent polite behaviour; ཉི་ཤུ་པ་ = twentieth",,དུས་རབས་ཉི་ཤུ་པ་ནས་ནུབ་ཕྱོགས་ཀྱི་རྒྱལ་ཁབ་དེ་ཚོའི་ནང་ལ་བོད་ཀྱི་ནང་ཆོས་ལ་དོ་སྣང་བྱེད་མཁན་མང་དུ་ཕྱིན་པ་རེད།,From the 20<sup>th</sup> century the number of people interested in Tibetan Buddhism has increased within Western countries.,[sound:L21 Vocabulary_Nouns_C-14.mp3],,,,,
1698230646721,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,དར་བ་,To spread,[sound:L21 Vocabulary_Verbs_A-01.mp3],"""<img alt=""""Meaning of Disseminate"""" src=""""paste-e33f7d7c2f34e862db38e6ff01b390a003766dcf.jpg"""">""",,v,To disseminate,,,"དར་བ་ = to spread, to be spread, as in: རྒྱལ་དར་ = national flag, དར་ལྕོག = prayer flags",,བོད་ལ་ནང་ཆོས་མ་དར་གོང་ལ་བོད་པ་ཚོས་བོན་པོའི་ཆོས་བྱེད་ཀྱི་ཡོད་པ་འདྲ།,Before Buddhism spread in Tibet it seems Tibetans were practicing the Bön religion. ,[sound:L21 Vocabulary_Verbs_A-02.mp3],,,,,
1698230755190,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,ཕན་བདེ་སྒྲུབ་པ་,To accomplish happiness and wellbeing,[sound:L21 Vocabulary_Verbs_A-03.mp3],"""<img src=""""wellbeing-woman-sitting-in-sunny-field.jpeg"""">""",v,n,,,,"སེམས་ཅན་གྱི་ཕན་བདེ་སྒྲུབ་ཡག = to accomplish the benefit and welfare of sentient beings, to practice for the liberation and happiness of sentient beings (སེམས་ཅན་= living being, sentient beings; སེམས་ as in: སེམས་ཙམ་པ་ = Mind Only; ཕན་བདེ་ = ཕན་པ་དང་བདེ་བ་, ཕན་ as in: ཕན་ཐོགས་ཆེན་པོ་ = beneficial; བདེ་ as in: ཞི་བདེ་ = peace and happiness, wellbeing)",,མི་ཚེ་འདི་གཞན་ལ་ཕན་བདེ་སྒྲུབ་ཡག་བྱུང་ན་ཡག་ཤོས་རེད།,It is best if one brings about benefit and well-being for others in this life. ,[sound:L21 Vocabulary_Verbs_A-04.mp3],,,,,
1698231042410,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,བྱོན་པ་,To come (ཡིག་སྐད་),[sound:L21 Vocabulary_Verbs_A-07.mp3],"""<img src=""""Buddha-Weekly-Buddha-Descent-from-Tushita-Heaven-Buddhism.jpeg"""">""",,v,To arrive,,,"སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་བྱོན། = Buddha Shakyamuni (Siddhartha) came, entered (the world) (སངས་རྒྱས་ = Buddha, སངས་ = to have purified, རྒྱས་ = to have increased, expanded; ཤཱཀྱ་ = Shakya; ཐུབ་པ་ = the Mighty one; བྱོན་པ་ = ཕེབས་པ་ (H) = to come, to arrive)",,ལོ་ཉིས་སྟོང་ཁ་ཤས་ཀྱི་སྔོན་ལ་འཛམ་བུ་གླིང་ལ་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་བྱོན་པ་རེད།,Buddha Shakyamuni came to the world/earth some two thousand years ago.,[sound:L21 Vocabulary_Verbs_A-08.mp3],,,,,
1698231151891,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,ཉམས་པ་,To be degenerated,[sound:L21 Vocabulary_Verbs_A-09.mp3],"""<img alt=""""Mind the gap: Why the decline of Harappan civilisation sent India's sewage system down the drain"""" src=""""813120-38668-eipqaekpeh-1470223530.jpg"""">""",,v,To decline,,,"བསྟན་པ་འདི་ཉམས་པ་རེད། = this teaching decreased, declined, degenerated, diminished (བསྟན་པ་ = the teaching, as in: བསྟན་འཛིན་ = holder of the teaching, བསྟན་བཅོས་ = commentary, treatise; འདི་ = this; ཉམས་པ་ = to degenerate, decline; ཉམས་ as in: ཉམས་ལེན་བྱེད་པ་ = to practice, ཉམས་མྱོང་ = experience)",,རྒྱ་གར་ནང་ལ་སངས་རྒྱས་ཀྱི་བསྟན་པ་ཉམས་ནས་ལོ་མང་པོ་ཕྱིན་པ་རེད།,It has been many years since the doctrine/teachings of the Buddha declined in India. / The doctrine of the Buddha declined in India many years ago. ,[sound:L21 Vocabulary_Verbs_A-10.mp3],,,,,
1698231265444,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,ལན་བསྐྱོན་པ་,To answer (H),[sound:L21 Vocabulary_Verbs_A-11.mp3],"""<img alt=""""Joe Biden is not my President' trends on Twitter after this response from Indian guy, how it started"""" src=""""952072-joe-biden-1.jpg"""">""",,v,"to reply, answer, give an answer (H)",,,"ལན་ = answer, as in: དྲི་བ་དྲི་ལན་ = dialogue; སྐྱོན་པ་ (H) = རྒྱག་པ་ = to do, verbalizer used with many nouns such as སྒོ་རྒྱག་པ་ = to close the door, སྐད་རྒྱག་པ་ = to shout",,ཁོང་གིས་ངའི་དྲི་བ་ལ་ལན་ཡག་པོ་བསྐྱོན་སོང་།,He answered my question well. ,[sound:L21 Vocabulary_Verbs_A-12.mp3],,,,,
1698231531867,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,སྐུ་ཞབས་,Venerable,[sound:L21 Vocabulary_Adj-Adv_A-01.mp3],"""<img alt=""""༧རྗེ་འཇིགས་མེད་ཐེག་མཆོག་ལགས་ཀྱི་སྐུ་ཚེའི་མཛད་རྣམ་དང་གསུང་འབུམ། – བོད་ལྗོངས་མདོ་སྨད་ཆོལ་ཁའི་དྲྭ་བ།"""" src=""""download-1.jpg"""">""",,n,"Sir, Mr., Master, The Venerable, Your Honour",,,"སྐུ་ = body, as in: སྐུ་གཟུགས་བདེ་པོ་ཡིན་པས། How are you? (H), སྐུ་འདྲ་ = statue; ཞབས་ (H) = རྐང་པ་ = leg, foot, as in: ཞབས་ཞུ་བ་ = waiter, servant, སྨན་ཞབས་ = nurse",,སྐུ་ཞབས་རྡོ་རྗེ་ལགས་ཀྱི་ཞུགས་ས་ག་བར་ཡོད་རེད།,Where does Venerable Dorje-la live?,[sound:L21 Vocabulary_Adj-Adv_A-02.mp3],,,,,
1698231636157,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,འབྲེལ་བའི་,Related to...,[sound:L21 Vocabulary_Adj-Adv_A-03.mp3],"""<img alt=""""Tibetan Buddhism - Wikipedia"""" src=""""Tibetan_Buddhism_(214837929).jpeg"""">""",,adj,Connected to...,,,"ནང་ཆོས་དང་འབྲེལ་བའི་བཀའ་འདྲི། = questions related to the dharma, dharma-related questions(H.) (ནང་ཆོས་ = Buddhism; འབྲེལ་བ་ = connection, relation, as in: འབྲེལ་སྒྲ་ = connective particle; འི་ = འབྲེལ་སྒྲ་, བཀའ་འདྲི་ (H) = དྲི་བ་ = question; བཀའ་ = speech, as in: བཀའ་མོལ་གནང་བ་ (H) = to talk, to have a conversation, བཀའ་དང་བསྟན་བཅོས་ = Words of the Buddha and commentaries; དྲི་བ་ = question, as in: དྲི་བ་དྲི་ ལན་ = dialogue)",,བོད་ཀྱི་རིགས་གཞུང་འདི་ནང་ཆོས་དང་འབྲེལ་བའི་རིགས་གཞུང་ཞིག་རེད།,The Tibetan culture is a culture which is connected to Buddhism. ,[sound:L21 Vocabulary_Adj-Adv_A-04.mp3],,,,,
1698231742160,1702725502,LRZTP LRZTP_21 LRZTP_Module_3,གང་ཐུབ་ཐུབ་,As much as possible,[sound:L21 Vocabulary_Adj-Adv_A-05.mp3],"""<img src=""""paste-32f4848cdbccbb6b0c0cc387fd5eb50e0b6496dc-32f4848cdbccbb6b0c0cc387fd5eb50e0b6496dc.jpg"""">""",,adv,"as well as I can, to the best of my ability, as far as possible",,,གང་ = what; ཐུབ་པ་ = to be able to,,བོད་པ་ཚོས་གང་ཐུབ་ཐུབ་ཀྱིས་བོད་ཡིག་ལ་དོ་སྣང་བྱས་ན་ཡག་པོ་ཡོད་རེད།,It would be great if Tibetans could take interest in (involve themselves with) the Tibetan language as much as possible.,[sound:L21 Vocabulary_Adj-Adv_A-06.mp3],,,,,
